;qid;Len;Den;P1;P2;P3;P4;P5
26795;;3340032_+;TSS;3340032;+;;Q4;M63_0.4
26796;;3340032_+;TSS;3340032;+;;Q4;M63_0.4
26797;;3340032_+;TSS;3340032;+;;Q4;LB_0.4
26798;;3340032_+;TSS;3340032;+;;Q4;LB_0.4
26799;;3340032_+;TSS;3340032;+;;Q4;LB_2.0
26800;;3340032_+;TSS;3340032;+;;Q4;LB_2.0
26801;;3340239_-;TSS;3340239;-;;Q4;M63_0.4
26802;;3340239_-;TSS;3340239;-;;Q4;M63_0.4
26803;;3340239_-;TSS;3340239;-;;Q4;LB_2.0
26804;;3340239_-;TSS;3340239;-;;Q4;LB_2.0
26805;;3340249_+;TSS;3340249;+;;Q4;M63_0.4
26806;;3340249_+;TSS;3340249;+;;Q4;M63_0.4
26807;;3340249_+;TSS;3340249;+;;Q4;LB_0.4
26808;;3340249_+;TSS;3340249;+;;Q4;LB_0.4
26809;;3340249_+;TSS;3340249;+;;Q4;LB_2.0
26810;;3340249_+;TSS;3340249;+;;Q4;LB_2.0
26811;;3340261_-;TSS;3340261;-;;Q4;M63_0.4
26812;;3340261_-;TSS;3340261;-;;Q4;M63_0.4
26813;;3340659_+;TSS;3340659;+;;Q4;M63_0.4
26814;;3340659_+;TSS;3340659;+;;Q4;M63_0.4
26815;;3340659_+;TSS;3340659;+;;Q4;LB_0.4
26816;;3340659_+;TSS;3340659;+;;Q4;LB_0.4
26817;;3340659_+;TSS;3340659;+;;Q4;LB_2.0
26818;;3340659_+;TSS;3340659;+;;Q4;LB_2.0
26819;;3340893_+;TSS;3340893;+;;Q4;M63_0.4
26820;;3340893_+;TSS;3340893;+;;Q4;LB_0.4
26821;;3340893_+;TSS;3340893;+;;Q4;LB_2.0
26822;;3341053_-;TSS;3341053;-;;Q4;LB_2.0
26823;;3341113_-;TSS;3341113;-;;Q4;M63_0.4
26824;;3341113_-;TSS;3341113;-;;Q4;LB_2.0
26825;;3341136_+;TSS;3341136;+;;Q4;M63_0.4
26826;;3341136_+;TSS;3341136;+;;Q4;M63_0.4
26827;;3341136_+;TSS;3341136;+;;Q4;LB_0.4
26828;;3341136_+;TSS;3341136;+;;Q4;LB_0.4
26829;;3341136_+;TSS;3341136;+;;Q4;LB_2.0
26830;;3341136_+;TSS;3341136;+;;Q4;LB_2.0
26831;;3341273_-;TSS;3341273;-;;Q4;M63_0.4
26832;;3341273_-;TSS;3341273;-;;Q4;LB_0.4
26833;;3341273_-;TSS;3341273;-;;Q4;LB_2.0
26834;;3341379_-;TSS;3341379;-;;Q4;M63_0.4
26835;;3341379_-;TSS;3341379;-;;Q4;M63_0.4
26836;;3341379_-;TSS;3341379;-;;Q4;LB_0.4
26837;;3341379_-;TSS;3341379;-;;Q4;LB_0.4
26838;;3341379_-;TSS;3341379;-;;Q4;LB_2.0
26839;;3341379_-;TSS;3341379;-;;Q4;LB_2.0
26840;;3341841_-;TSS;3341841;-;;Q4;M63_0.4
26841;;3341841_-;TSS;3341841;-;;Q4;LB_0.4
26842;;3341841_-;TSS;3341841;-;;Q4;LB_2.0
26843;;3342112_-;TSS;3342112;-;;Q4;M63_0.4
26844;;3342112_-;TSS;3342112;-;;Q4;LB_2.0
26845;;3342628_-;TSS;3342628;-;;Q4;M63_0.4
26846;;3342628_-;TSS;3342628;-;;Q4;LB_0.4
26847;;3342628_-;TSS;3342628;-;;Q4;LB_2.0
26848;;3342703_+;TSS;3342703;+;;Q4;M63_0.4
26849;;3342703_+;TSS;3342703;+;;Q4;LB_0.4
26850;;3342703_+;TSS;3342703;+;;Q4;LB_2.0
26851;;3343221_-;TSS;3343221;-;;Q4;M63_0.4
26852;;3343221_-;TSS;3343221;-;;Q4;LB_0.4
26853;;3343221_-;TSS;3343221;-;;Q4;LB_2.0
26854;;3343627_+;TSS;3343627;+;;Q4;M63_0.4
26855;;3343627_+;TSS;3343627;+;;Q4;LB_0.4
26856;;3343694_-;TSS;3343694;-;;Q4;M63_0.4
26857;;3343694_-;TSS;3343694;-;;Q4;LB_0.4
26858;;3343694_-;TSS;3343694;-;;Q4;LB_2.0
26859;;3343807_-;TSS;3343807;-;;Q4;M63_0.4
26860;;3343807_-;TSS;3343807;-;;Q4;LB_0.4
26861;;3343807_-;TSS;3343807;-;;Q4;LB_2.0
26862;;3344100_+;TSS;3344100;+;;Q4;M63_0.4
26863;;3344100_+;TSS;3344100;+;;Q4;M63_0.4
26864;;3344100_+;TSS;3344100;+;;Q4;LB_0.4
26865;;3344100_+;TSS;3344100;+;;Q4;LB_0.4
26866;;3344100_+;TSS;3344100;+;;Q4;LB_2.0
26867;;3344100_+;TSS;3344100;+;;Q4;LB_2.0
26868;;3344198_-;TSS;3344198;-;;Q4;M63_0.4
26869;;3344198_-;TSS;3344198;-;;Q4;M63_0.4
26870;;3344198_-;TSS;3344198;-;;Q4;LB_2.0
26871;;3344198_-;TSS;3344198;-;;Q4;LB_2.0
26872;;3344589_-;TSS;3344589;-;;Q4;M63_0.4
26873;;3344589_-;TSS;3344589;-;;Q4;LB_0.4
26874;;3344589_-;TSS;3344589;-;;Q4;LB_2.0
26875;;3344626_+;TSS;3344626;+;;Q4;M63_0.4
26876;;3344626_+;TSS;3344626;+;;Q4;LB_0.4
26877;;3344626_+;TSS;3344626;+;;Q4;LB_2.0
26878;;3345154_+;TSS;3345154;+;;Q4;M63_0.4
26879;;3345154_+;TSS;3345154;+;;Q4;LB_0.4
26880;;3345154_+;TSS;3345154;+;;Q4;LB_2.0
26881;;3345304_-;TSS;3345304;-;;Q4;M63_0.4
26882;;3345304_-;TSS;3345304;-;;Q4;LB_2.0
26883;;3345832_+;TSS;3345832;+;;Q4;M63_0.4
26884;;3345832_+;TSS;3345832;+;;Q4;M63_0.4
26885;;3345832_+;TSS;3345832;+;;Q4;LB_0.4
26886;;3345832_+;TSS;3345832;+;;Q4;LB_0.4
26887;;3345832_+;TSS;3345832;+;;Q4;LB_2.0
26888;;3345832_+;TSS;3345832;+;;Q4;LB_2.0
26889;;3345915_+;TSS;3345915;+;;Q4;LB_0.4
26890;;3345915_+;TSS;3345915;+;;Q4;LB_0.4
26891;;3346347_-;TSS;3346347;-;;Q4;M63_0.4
26892;;3346347_-;TSS;3346347;-;;Q4;LB_2.0
26893;;3346448_+;TSS;3346448;+;;Q4;M63_0.4
26894;;3346448_+;TSS;3346448;+;;Q4;LB_0.4
26895;;3346448_+;TSS;3346448;+;;Q4;LB_2.0
26896;;3346557_-;TSS;3346557;-;;Q4;M63_0.4
26897;;3346557_-;TSS;3346557;-;;Q4;LB_0.4
26898;;3346557_-;TSS;3346557;-;;Q4;LB_2.0
26899;;3347093_-;TSS;3347093;-;;Q4;M63_0.4
26900;;3347093_-;TSS;3347093;-;;Q4;LB_0.4
26901;;3347919_+;TSS;3347919;+;;Q4;LB_2.0
26902;;3347919_+;TSS;3347919;+;;Q4;LB_2.0
26903;;3348581_-;TSS;3348581;-;;Q4;M63_0.4
26904;;3348581_-;TSS;3348581;-;;Q4;M63_0.4
26905;;3348581_-;TSS;3348581;-;;Q4;LB_2.0
26906;;3348581_-;TSS;3348581;-;;Q4;LB_2.0
26907;;3348595_+;TSS;3348595;+;;Q4;M63_0.4
26908;;3348595_+;TSS;3348595;+;;Q4;LB_0.4
26909;;3348599_+;TSS;3348599;+;;Q4;M63_0.4
26910;;3348599_+;TSS;3348599;+;;Q4;LB_0.4
26911;;3348599_+;TSS;3348599;+;;Q4;LB_2.0
26912;;3349211_+;TSS;3349211;+;;Q4;M63_0.4
26913;;3349211_+;TSS;3349211;+;;Q4;LB_0.4
26914;;3349211_+;TSS;3349211;+;;Q4;LB_2.0
26915;;3349740_+;TSS;3349740;+;;Q4;M63_0.4
26916;;3349740_+;TSS;3349740;+;;Q4;LB_0.4
26917;;3349740_+;TSS;3349740;+;;Q4;LB_2.0
26918;;3349802_+;TSS;3349802;+;;Q4;LB_2.0
26919;;3350010_-;TSS;3350010;-;;Q4;M63_0.4
26920;;3350010_-;TSS;3350010;-;;Q4;LB_0.4
26921;;3350010_-;TSS;3350010;-;;Q4;LB_2.0
26922;;3350049_+;TSS;3350049;+;;Q4;LB_2.0
26923;;3350706_-;TSS;3350706;-;;Q4;M63_0.4
26924;;3350706_-;TSS;3350706;-;;Q4;LB_0.4
26925;;3350825_-;TSS;3350825;-;;Q4;M63_0.4
26926;;3350825_-;TSS;3350825;-;;Q4;LB_0.4
26927;;3350825_-;TSS;3350825;-;;Q4;LB_2.0
26928;;3350922_-;TSS;3350922;-;;Q4;M63_0.4
26929;;3350922_-;TSS;3350922;-;;Q4;LB_0.4
26930;;3350922_-;TSS;3350922;-;;Q4;LB_2.0
26931;;3351008_-;TSS;3351008;-;;Q4;M63_0.4
26932;;3351008_-;TSS;3351008;-;;Q4;LB_2.0
26933;;3351071_-;TSS;3351071;-;;Q4;M63_0.4
26934;;3351071_-;TSS;3351071;-;;Q4;LB_0.4
26935;;3351071_-;TSS;3351071;-;;Q4;LB_2.0
26936;;3351079_-;TSS;3351079;-;;Q4;M63_0.4
26937;;3351079_-;TSS;3351079;-;;Q4;LB_0.4
26938;;3351082_-;TSS;3351082;-;;Q4;LB_2.0
26939;;3351116_+;TSS;3351116;+;;Q4;LB_2.0
26940;;3351116_+;TSS;3351116;+;;Q4;LB_2.0
26941;;3351934_+;TSS;3351934;+;;Q4;M63_0.4
26942;;3351934_+;TSS;3351934;+;;Q4;LB_0.4
26943;;3351934_+;TSS;3351934;+;;Q4;LB_2.0
26944;;3352084_+;TSS;3352084;+;;Q4;M63_0.4
26945;;3352084_+;TSS;3352084;+;;Q4;LB_0.4
26946;;3352084_+;TSS;3352084;+;;Q4;LB_2.0
26947;;3352099_-;TSS;3352099;-;;Q4;M63_0.4
26948;;3352099_-;TSS;3352099;-;;Q4;LB_0.4
26949;;3352099_-;TSS;3352099;-;;Q4;LB_2.0
26950;;3352533_+;TSS;3352533;+;;Q4;M63_0.4
26951;;3352533_+;TSS;3352533;+;;Q4;LB_0.4
26952;;3352533_+;TSS;3352533;+;;Q4;LB_2.0
26953;;3352741_-;TSS;3352741;-;;Q4;M63_0.4
26954;;3352741_-;TSS;3352741;-;;Q4;LB_2.0
26955;;3352766_+;TSS;3352766;+;;Q4;M63_0.4
26956;;3352766_+;TSS;3352766;+;;Q4;LB_0.4
26957;;3352766_+;TSS;3352766;+;;Q4;LB_2.0
26958;;3353955_-;TSS;3353955;-;;Q4;M63_0.4
26959;;3353955_-;TSS;3353955;-;;Q4;LB_0.4
26960;;3353955_-;TSS;3353955;-;;Q4;LB_2.0
26961;;3354818_-;TSS;3354818;-;;Q4;M63_0.4
26962;;3354818_-;TSS;3354818;-;;Q4;LB_0.4
26963;;3354818_-;TSS;3354818;-;;Q4;LB_2.0
26964;;3356709_-;TSS;3356709;-;;Q4;LB_0.4
26965;;3357895_+;TSS;3357895;+;;Q4;LB_2.0
26966;;3358398_-;TSS;3358398;-;;Q4;M63_0.4
26967;;3358398_-;TSS;3358398;-;;Q4;LB_0.4
26968;;3358398_-;TSS;3358398;-;;Q4;LB_2.0
26969;;3358626_+;TSS;3358626;+;;Q4;LB_2.0
26970;;3358734_-;TSS;3358734;-;;Q4;LB_2.0
26971;;3358753_+;TSS;3358753;+;;Q4;LB_2.0
26972;;3358906_-;TSS;3358906;-;;Q4;M63_0.4
26973;;3358906_-;TSS;3358906;-;;Q4;LB_0.4
26974;;3358906_-;TSS;3358906;-;;Q4;LB_2.0
26975;;3359153_+;TSS;3359153;+;;Q4;M63_0.4
26976;;3359536_-;TSS;3359536;-;;Q4;LB_0.4
26977;;3359536_-;TSS;3359536;-;;Q4;LB_2.0
26978;;3359546_+;TSS;3359546;+;;Q4;M63_0.4
26979;;3359546_+;TSS;3359546;+;;Q4;LB_2.0
26980;;3359567_+;TSS;3359567;+;;Q4;M63_0.4
26981;;3359567_+;TSS;3359567;+;;Q4;LB_0.4
26982;;3359567_+;TSS;3359567;+;;Q4;LB_2.0
26983;;3359720_+;TSS;3359720;+;;Q4;M63_0.4
26984;;3359720_+;TSS;3359720;+;;Q4;LB_2.0
26985;;3360260_+;TSS;3360260;+;;Q4;LB_2.0
26986;;3360813_+;TSS;3360813;+;;Q4;M63_0.4
26987;;3360813_+;TSS;3360813;+;;Q4;LB_0.4
26988;;3360813_+;TSS;3360813;+;;Q4;LB_2.0
26989;;3360846_+;TSS;3360846;+;;Q4;M63_0.4
26990;;3360846_+;TSS;3360846;+;;Q4;LB_0.4
26991;;3360846_+;TSS;3360846;+;;Q4;LB_2.0
26992;;3360947_+;TSS;3360947;+;;Q4;M63_0.4
26993;;3360947_+;TSS;3360947;+;;Q4;LB_0.4
26994;;3360947_+;TSS;3360947;+;;Q4;LB_2.0
26995;;3360951_-;TSS;3360951;-;;Q4;M63_0.4
26996;;3360951_-;TSS;3360951;-;;Q4;LB_0.4
26997;;3360951_-;TSS;3360951;-;;Q4;LB_2.0
26998;;3361008_-;TSS;3361008;-;;Q4;M63_0.4
26999;;3361008_-;TSS;3361008;-;;Q4;LB_2.0
27000;;3361144_-;TSS;3361144;-;;Q4;M63_0.4
27001;;3361144_-;TSS;3361144;-;;Q4;LB_2.0
27002;;3361188_+;TSS;3361188;+;;Q4;M63_0.4
27003;;3361188_+;TSS;3361188;+;;Q4;LB_0.4
27004;;3361188_+;TSS;3361188;+;;Q4;LB_2.0
27005;;3361224_+;TSS;3361224;+;;Q4;M63_0.4
27006;;3361224_+;TSS;3361224;+;;Q4;LB_2.0
27007;;3361305_+;TSS;3361305;+;;Q4;M63_0.4
27008;;3361305_+;TSS;3361305;+;;Q4;LB_0.4
27009;;3361305_+;TSS;3361305;+;;Q4;LB_2.0
27010;;3361471_-;TSS;3361471;-;;Q4;M63_0.4
27011;;3361471_-;TSS;3361471;-;;Q4;LB_0.4
27012;;3361471_-;TSS;3361471;-;;Q4;LB_2.0
27013;;3361509_-;TSS;3361509;-;;Q4;M63_0.4
27014;;3361509_-;TSS;3361509;-;;Q4;LB_2.0
27015;;3361932_-;TSS;3361932;-;;Q4;M63_0.4
27016;;3361932_-;TSS;3361932;-;;Q4;LB_0.4
27017;;3362160_-;TSS;3362160;-;;Q4;M63_0.4
27018;;3362160_-;TSS;3362160;-;;Q4;LB_0.4
27019;;3362160_-;TSS;3362160;-;;Q4;LB_2.0
27020;;3362164_-;TSS;3362164;-;;Q4;LB_2.0
27021;;3362219_+;TSS;3362219;+;;Q4;M63_0.4
27022;;3362219_+;TSS;3362219;+;;Q4;LB_2.0
27023;;3362289_-;TSS;3362289;-;;Q4;M63_0.4
27024;;3362289_-;TSS;3362289;-;;Q4;LB_0.4
27025;;3362289_-;TSS;3362289;-;;Q4;LB_2.0
27026;;3362307_+;TSS;3362307;+;;Q4;M63_0.4
27027;;3362307_+;TSS;3362307;+;;Q4;LB_2.0
27028;;3362435_-;TSS;3362435;-;;Q4;M63_0.4
27029;;3362435_-;TSS;3362435;-;;Q4;LB_0.4
27030;;3362435_-;TSS;3362435;-;;Q4;LB_2.0
27031;;3362530_+;TSS;3362530;+;;Q4;M63_0.4
27032;;3362530_+;TSS;3362530;+;;Q4;LB_0.4
27033;;3362530_+;TSS;3362530;+;;Q4;LB_2.0
27034;;3362967_-;TSS;3362967;-;;Q4;M63_0.4
27035;;3362967_-;TSS;3362967;-;;Q4;LB_0.4
27036;;3362967_-;TSS;3362967;-;;Q4;LB_2.0
27037;;3363072_-;TSS;3363072;-;;Q4;M63_0.4
27038;;3363072_-;TSS;3363072;-;;Q4;LB_2.0
27039;;3363119_+;TSS;3363119;+;;Q4;LB_2.0
27040;;3363119_+;TSS;3363119;+;;Q4;LB_2.0
27041;;3363208_-;TSS;3363208;-;;Q4;M63_0.4
27042;;3363208_-;TSS;3363208;-;;Q4;M63_0.4
27043;;3363208_-;TSS;3363208;-;;Q4;LB_0.4
27044;;3363208_-;TSS;3363208;-;;Q4;LB_0.4
27045;;3363208_-;TSS;3363208;-;;Q4;LB_2.0
27046;;3363208_-;TSS;3363208;-;;Q4;LB_2.0
27047;;3364731_-;TSS;3364731;-;;Q4;M63_0.4
27048;;3364731_-;TSS;3364731;-;;Q4;M63_0.4
27049;;3364731_-;TSS;3364731;-;;Q4;LB_0.4
27050;;3364731_-;TSS;3364731;-;;Q4;LB_0.4
27051;;3364767_-;TSS;3364767;-;;Q4;M63_0.4
27052;;3364767_-;TSS;3364767;-;;Q4;M63_0.4
27053;;3364767_-;TSS;3364767;-;;Q4;LB_0.4
27054;;3364767_-;TSS;3364767;-;;Q4;LB_0.4
27055;;3364767_-;TSS;3364767;-;;Q4;LB_2.0
27056;;3364767_-;TSS;3364767;-;;Q4;LB_2.0
27057;;3364972_+;TSS;3364972;+;;Q4;M63_0.4
27058;;3364972_+;TSS;3364972;+;;Q4;LB_0.4
27059;;3364972_+;TSS;3364972;+;;Q4;LB_2.0
27060;;3365157_-;TSS;3365157;-;;Q4;LB_2.0
27061;;3365167_+;TSS;3365167;+;;Q4;M63_0.4
27062;;3365167_+;TSS;3365167;+;;Q4;LB_2.0
27063;;3365259_-;TSS;3365259;-;;Q4;M63_0.4
27064;;3365259_-;TSS;3365259;-;;Q4;LB_0.4
27065;;3365259_-;TSS;3365259;-;;Q4;LB_2.0
27066;;3365264_-;TSS;3365264;-;;Q4;M63_0.4
27067;;3365264_-;TSS;3365264;-;;Q4;LB_2.0
27068;;3365337_-;TSS;3365337;-;;Q4;LB_2.0
27069;;3365555_-;TSS;3365555;-;;Q4;M63_0.4
27070;;3365555_-;TSS;3365555;-;;Q4;LB_0.4
27071;;3365555_-;TSS;3365555;-;;Q4;LB_2.0
27072;;3365640_-;TSS;3365640;-;;Q4;M63_0.4
27073;;3365640_-;TSS;3365640;-;;Q4;LB_2.0
27074;;3365663_+;TSS;3365663;+;;Q4;M63_0.4
27075;;3365663_+;TSS;3365663;+;;Q4;M63_0.4
27076;;3365663_+;TSS;3365663;+;;Q4;LB_0.4
27077;;3365663_+;TSS;3365663;+;;Q4;LB_0.4
27078;;3365663_+;TSS;3365663;+;;Q4;LB_2.0
27079;;3365663_+;TSS;3365663;+;;Q4;LB_2.0
27080;;3365775_+;TSS;3365775;+;;Q4;LB_2.0
27081;;3365791_-;TSS;3365791;-;;Q4;M63_0.4
27082;;3365791_-;TSS;3365791;-;;Q4;LB_0.4
27083;;3365791_-;TSS;3365791;-;;Q4;LB_2.0
27084;;3366087_+;TSS;3366087;+;;Q4;M63_0.4
27085;;3366087_+;TSS;3366087;+;;Q4;LB_2.0
27086;;3366602_+;TSS;3366602;+;;Q4;M63_0.4
27087;;3366602_+;TSS;3366602;+;;Q4;LB_0.4
27088;;3366602_+;TSS;3366602;+;;Q4;LB_2.0
27089;;3366897_+;TSS;3366897;+;;Q4;M63_0.4
27090;;3366897_+;TSS;3366897;+;;Q4;LB_0.4
27091;;3366897_+;TSS;3366897;+;;Q4;LB_2.0
27092;;3367038_-;TSS;3367038;-;;Q4;M63_0.4
27093;;3367038_-;TSS;3367038;-;;Q4;M63_0.4
27094;;3368109_-;TSS;3368109;-;;Q4;LB_2.0
27095;;3368788_-;TSS;3368788;-;;Q4;LB_2.0
27096;;3368879_-;TSS;3368879;-;;Q4;LB_0.4
27097;;3368879_-;TSS;3368879;-;;Q4;LB_2.0
27098;;3369470_-;TSS;3369470;-;;Q4;LB_2.0
27099;;3370636_-;TSS;3370636;-;;Q4;M63_0.4
27100;;3370636_-;TSS;3370636;-;;Q4;LB_2.0
27101;;3370907_-;TSS;3370907;-;;Q4;LB_0.4
27102;;3370907_-;TSS;3370907;-;;Q4;LB_2.0
27103;;3371257_-;TSS;3371257;-;;Q4;M63_0.4
27104;;3371257_-;TSS;3371257;-;;Q4;LB_2.0
27105;;3371566_-;TSS;3371566;-;;Q4;M63_0.4
27106;;3371566_-;TSS;3371566;-;;Q4;LB_0.4
27107;;3371566_-;TSS;3371566;-;;Q4;LB_2.0
27108;;3371684_-;TSS;3371684;-;;Q4;M63_0.4
27109;;3371702_+;TSS;3371702;+;;Q4;M63_0.4
27110;;3371702_+;TSS;3371702;+;;Q4;LB_0.4
27111;;3371702_+;TSS;3371702;+;;Q4;LB_2.0
27112;;3372098_+;TSS;3372098;+;;Q4;M63_0.4
27113;;3372540_-;TSS;3372540;-;;Q4;M63_0.4
27114;;3372540_-;TSS;3372540;-;;Q4;LB_0.4
27115;;3372540_-;TSS;3372540;-;;Q4;LB_2.0
27116;;3372836_+;TSS;3372836;+;;Q4;LB_2.0
27117;;3372896_-;TSS;3372896;-;;Q4;M63_0.4
27118;;3372896_-;TSS;3372896;-;;Q4;LB_2.0
27119;;3373086_+;TSS;3373086;+;;Q4;M63_0.4
27120;;3373086_+;TSS;3373086;+;;Q4;LB_0.4
27121;;3373086_+;TSS;3373086;+;;Q4;LB_2.0
27122;;3373094_+;TSS;3373094;+;;Q4;M63_0.4
27123;;3373094_+;TSS;3373094;+;;Q4;LB_0.4
27124;;3373094_+;TSS;3373094;+;;Q4;LB_2.0
27125;;3373166_-;TSS;3373166;-;;Q4;M63_0.4
27126;;3373246_-;TSS;3373246;-;;Q4;M63_0.4
27127;;3373246_-;TSS;3373246;-;;Q4;LB_0.4
27128;;3373246_-;TSS;3373246;-;;Q4;LB_2.0
27129;;3373619_-;TSS;3373619;-;;Q4;M63_0.4
27130;;3373619_-;TSS;3373619;-;;Q4;LB_0.4
27131;;3373619_-;TSS;3373619;-;;Q4;LB_2.0
27132;;3374242_-;TSS;3374242;-;;Q4;M63_0.4
27133;;3374242_-;TSS;3374242;-;;Q4;LB_2.0
27134;;3375588_-;TSS;3375588;-;;Q4;M63_0.4
27135;;3375588_-;TSS;3375588;-;;Q4;LB_0.4
27136;;3375588_-;TSS;3375588;-;;Q4;LB_2.0
27137;;3375606_+;TSS;3375606;+;;Q4;LB_0.4
27138;;3375759_-;TSS;3375759;-;;Q4;M63_0.4
27139;;3375759_-;TSS;3375759;-;;Q4;LB_2.0
27140;;3375788_+;TSS;3375788;+;;Q4;M63_0.4
27141;;3375788_+;TSS;3375788;+;;Q4;LB_2.0
27142;;3375797_-;TSS;3375797;-;;Q4;M63_0.4
27143;;3375850_+;TSS;3375850;+;;Q4;M63_0.4
27144;;3375850_+;TSS;3375850;+;;Q4;LB_2.0
27145;;3376139_-;TSS;3376139;-;;Q4;LB_2.0
27146;;3376155_+;TSS;3376155;+;;Q4;M63_0.4
27147;;3376155_+;TSS;3376155;+;;Q4;M63_0.4
27148;;3376155_+;TSS;3376155;+;;Q4;LB_0.4
27149;;3376155_+;TSS;3376155;+;;Q4;LB_0.4
27150;;3376155_+;TSS;3376155;+;;Q4;LB_2.0
27151;;3376155_+;TSS;3376155;+;;Q4;LB_2.0
27152;;3376465_+;TSS;3376465;+;;Q4;M63_0.4
27153;;3376465_+;TSS;3376465;+;;Q4;LB_2.0
27154;;3376527_+;TSS;3376527;+;;Q4;M63_0.4
27155;;3376527_+;TSS;3376527;+;;Q4;LB_2.0
27156;;3376830_-;TSS;3376830;-;;Q4;M63_0.4
27157;;3376830_-;TSS;3376830;-;;Q4;LB_0.4
27158;;3376830_-;TSS;3376830;-;;Q4;LB_2.0
27159;;3376848_+;TSS;3376848;+;;Q4;M63_0.4
27160;;3376848_+;TSS;3376848;+;;Q4;LB_0.4
27161;;3376848_+;TSS;3376848;+;;Q4;LB_2.0
27162;;3377146_-;TSS;3377146;-;;Q4;M63_0.4
27163;;3377146_-;TSS;3377146;-;;Q4;LB_0.4
27164;;3377146_-;TSS;3377146;-;;Q4;LB_2.0
27165;;3377297_-;TSS;3377297;-;;Q4;M63_0.4
27166;;3377297_-;TSS;3377297;-;;Q4;LB_0.4
27167;;3377297_-;TSS;3377297;-;;Q4;LB_2.0
27168;;3378029_+;TSS;3378029;+;;Q4;LB_2.0
27169;;3378029_+;TSS;3378029;+;;Q4;LB_2.0
27170;;3378081_-;TSS;3378081;-;;Q4;M63_0.4
27171;;3378081_-;TSS;3378081;-;;Q4;LB_0.4
27172;;3378129_-;TSS;3378129;-;;Q4;M63_0.4
27173;;3378129_-;TSS;3378129;-;;Q4;M63_0.4
27174;;3378129_-;TSS;3378129;-;;Q4;LB_0.4
27175;;3378129_-;TSS;3378129;-;;Q4;LB_0.4
27176;;3378129_-;TSS;3378129;-;;Q4;LB_2.0
27177;;3378129_-;TSS;3378129;-;;Q4;LB_2.0
27178;;3378148_+;TSS;3378148;+;;Q4;M63_0.4
27179;;3378148_+;TSS;3378148;+;;Q4;LB_0.4
27180;;3378148_+;TSS;3378148;+;;Q4;LB_2.0
27181;;3378302_+;TSS;3378302;+;;Q4;M63_0.4
27182;;3378302_+;TSS;3378302;+;;Q4;LB_0.4
27183;;3378302_+;TSS;3378302;+;;Q4;LB_2.0
27184;;3378517_+;TSS;3378517;+;;Q4;LB_0.4
27185;;3378517_+;TSS;3378517;+;;Q4;LB_0.4
27186;;3378675_+;TSS;3378675;+;;Q4;LB_2.0
27187;;3378682_+;TSS;3378682;+;;Q4;M63_0.4
27188;;3378682_+;TSS;3378682;+;;Q4;LB_0.4
27189;;3378682_+;TSS;3378682;+;;Q4;LB_2.0
27190;;3378720_+;TSS;3378720;+;;Q4;M63_0.4
27191;;3378720_+;TSS;3378720;+;;Q4;LB_0.4
27192;;3378720_+;TSS;3378720;+;;Q4;LB_2.0
27193;;3379205_-;TSS;3379205;-;;Q4;M63_0.4
27194;;3379412_-;TSS;3379412;-;;Q4;M63_0.4
27195;;3379412_-;TSS;3379412;-;;Q4;LB_0.4
27196;;3379952_+;TSS;3379952;+;;Q4;M63_0.4
27197;;3379952_+;TSS;3379952;+;;Q4;M63_0.4
27198;;3379952_+;TSS;3379952;+;;Q4;LB_0.4
27199;;3379952_+;TSS;3379952;+;;Q4;LB_0.4
27200;;3379952_+;TSS;3379952;+;;Q4;LB_2.0
27201;;3379952_+;TSS;3379952;+;;Q4;LB_2.0
27202;;3380064_+;TSS;3380064;+;;Q4;M63_0.4
27203;;3380064_+;TSS;3380064;+;;Q4;M63_0.4
27204;;3380064_+;TSS;3380064;+;;Q4;LB_0.4
27205;;3380064_+;TSS;3380064;+;;Q4;LB_0.4
27206;;3380195_+;TSS;3380195;+;;Q4;M63_0.4
27207;;3380195_+;TSS;3380195;+;;Q4;LB_0.4
27208;;3380195_+;TSS;3380195;+;;Q4;LB_2.0
27209;;3380372_+;TSS;3380372;+;;Q4;M63_0.4
27210;;3380372_+;TSS;3380372;+;;Q4;LB_0.4
27211;;3381058_+;TSS;3381058;+;;Q4;M63_0.4
27212;;3381058_+;TSS;3381058;+;;Q4;LB_0.4
27213;;3381058_+;TSS;3381058;+;;Q4;LB_2.0
27214;;3381082_+;TSS;3381082;+;;Q4;M63_0.4
27215;;3381082_+;TSS;3381082;+;;Q4;LB_0.4
27216;;3381082_+;TSS;3381082;+;;Q4;LB_2.0
27217;;3381233_+;TSS;3381233;+;;Q4;LB_2.0
27218;;3381397_-;TSS;3381397;-;;Q4;M63_0.4
27219;;3381397_-;TSS;3381397;-;;Q4;LB_0.4
27220;;3382326_+;TSS;3382326;+;;Q4;M63_0.4
27221;;3382326_+;TSS;3382326;+;;Q4;LB_0.4
27222;;3382326_+;TSS;3382326;+;;Q4;LB_2.0
27223;;3382336_-;TSS;3382336;-;;Q4;M63_0.4
27224;;3382336_-;TSS;3382336;-;;Q4;LB_0.4
27225;;3382336_-;TSS;3382336;-;;Q4;LB_2.0
27226;;3382396_-;TSS;3382396;-;;Q4;M63_0.4
27227;;3382396_-;TSS;3382396;-;;Q4;LB_0.4
27228;;3382494_-;TSS;3382494;-;;Q4;M63_0.4
27229;;3382494_-;TSS;3382494;-;;Q4;LB_0.4
27230;;3382494_-;TSS;3382494;-;;Q4;LB_2.0
